id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VJ-331,VietJet Air,890.845 VND,17:20,10 thg 6,18:20,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-325,VietJet Air,890.845 VND,17:30,10 thg 6,18:35,10 thg 6,1h 5m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-339,VietJet Air,1.117.309 VND,07:50,10 thg 6,08:50,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-337,VietJet Air,1.117.309 VND,09:10,10 thg 6,10:10,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-327,VietJet Air,1.117.309 VND,14:50,10 thg 6,15:50,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-329,VietJet Air,1.117.309 VND,06:40,10 thg 6,07:45,10 thg 6,1h 5m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VJ-321,VietJet Air,1.117.309 VND,08:50,10 thg 6,09:55,10 thg 6,1h 5m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 0 kg,07-06-2026
VN-1833,Vietnam Airlines,1.198.000 VND,17:30,10 thg 6,18:30,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý 1 x 23 kg,07-06-2026
9G-1963,SUN PhuQuoc AIRWAYS,1.214.701 VND,09:40,10 thg 6,10:40,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 1 x 23 kg,07-06-2026
9G-1965,SUN PhuQuoc AIRWAYS,1.214.701 VND,10:35,10 thg 6,11:35,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 1 x 23 kg,07-06-2026
9G-1969,SUN PhuQuoc AIRWAYS,1.214.701 VND,11:35,10 thg 6,12:35,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 1 x 23 kg,07-06-2026
VJ-335,VietJet Air,1.564.000 VND,11:20,10 thg 6,12:20,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 1 x 20 kg,07-06-2026
VN-1829,Vietnam Airlines,1.623.693 VND,15:30,10 thg 6,16:30,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý 23 kg,07-06-2026
9G-1955,SUN PhuQuoc AIRWAYS,1.715.670 VND,07:05,10 thg 6,08:05,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý 1 x 23 kg,07-06-2026
VJ-339,VietJet Air,1.759.302 VND,07:50,10 thg 6,08:50,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 10 kg,Hành lý 30 kg,07-06-2026
VJ-337,VietJet Air,1.759.302 VND,09:10,10 thg 6,10:10,10 thg 6,1h 0m,TP HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 10 kg,Hành lý 30 kg,07-06-2026
