id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VJ-325,VietJet Air,866.223 VND,17:30,19 thg 6,18:35,19 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1985,SUN PhuQuoc AIRWAYS,1.100.880 VND,18:20,19 thg 6,19:20,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1987,SUN PhuQuoc AIRWAYS,1.100.880 VND,19:00,19 thg 6,20:00,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-327,VietJet Air,1.108.070 VND,14:50,19 thg 6,15:50,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-337,VietJet Air,1.157.072 VND,09:10,19 thg 6,10:10,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-321,VietJet Air,1.187.105 VND,08:50,19 thg 6,09:55,19 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-339,VietJet Air,1.225.042 VND,07:50,19 thg 6,08:50,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-329,VietJet Air,1.225.042 VND,06:40,19 thg 6,07:45,19 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1981,SUN PhuQuoc AIRWAYS,1.303.517 VND,16:25,19 thg 6,17:25,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VN-1833,Vietnam Airlines,1.415.254 VND,17:30,19 thg 6,18:30,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,09-06-2026
VN-1835,Vietnam Airlines,1.415.254 VND,20:30,19 thg 6,21:30,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,09-06-2026
VJ-335,VietJet Air,1.552.774 VND,11:20,19 thg 6,12:20,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1969,SUN PhuQuoc AIRWAYS,1.603.800 VND,11:35,19 thg 6,12:35,19 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VN-6103,Vietnam Airlines,1.701.097 VND,10:05,19 thg 6,11:10,19 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,09-06-2026
