id,brand,price,take_place,destination,hand_luggage,checked_baggage,price_raw,start_hour,end_hour,trip_mins,days_left,is_holiday,num_flights_same_route_day,price_lag1,price_lag3,price_roll3_mean,price_roll3_std
VJ-284,VietJet Air,2558363,TP HCM (SGN),Hải Phòng (HPH),7,7,2.558.363 VND,Evening,LateNight,120,1,0,7,2482656.0,2299661.0,2853145.452380953,530606.1822313456
VJ-286,VietJet Air,2558363,TP HCM (SGN),Hải Phòng (HPH),7,7,2.558.363 VND,Evening,LateNight,120,1,0,7,2558363.0,2558363.0,2853145.452380953,530606.1822313456
VJ-321,VietJet Air,1117309,TP HCM (SGN),Phú Quốc (PQC),7,0,1.117.309 VND,Morning,Morning,65,3,0,8,1117309.0,1117309.0,1498620.9375,0.0
VJ-321,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Morning,Morning,65,3,0,8,1117309.0,1759302.0,1498620.9375,0.0
VJ-321,VietJet Air,1113232,TP HCM (SGN),Phú Quốc (PQC),7,7,1.113.232 VND,Morning,Morning,65,2,0,8,1759302.0,1113232.0,1306584.78125,271580.1366347488
VJ-321,VietJet Air,1152067,TP HCM (SGN),Phú Quốc (PQC),7,7,1.152.067 VND,Morning,Morning,65,1,0,7,1113232.0,1117309.0,1264098.8541666667,205652.73474394978
VJ-325,VietJet Air,890845,TP HCM (SGN),Phú Quốc (PQC),7,0,890.845 VND,Evening,Evening,65,3,0,8,890845.0,890845.0,1498620.9375,0.0
VJ-325,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Evening,Evening,65,3,0,8,890845.0,1759302.0,1498620.9375,0.0
VJ-325,VietJet Air,887321,TP HCM (SGN),Phú Quốc (PQC),7,7,887.321 VND,Evening,Evening,65,2,0,8,1759302.0,887321.0,1306584.78125,271580.1366347488
VJ-325,VietJet Air,913381,TP HCM (SGN),Phú Quốc (PQC),7,7,913.381 VND,Evening,Evening,65,1,0,7,887321.0,890845.0,1264098.8541666667,205652.73474394978
VJ-327,VietJet Air,1117309,TP HCM (SGN),Phú Quốc (PQC),7,0,1.117.309 VND,Afternoon,Afternoon,60,3,0,8,1117309.0,1117309.0,1498620.9375,0.0
VJ-327,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Afternoon,Afternoon,60,3,0,8,1117309.0,1759302.0,1498620.9375,0.0
VJ-327,VietJet Air,1113232,TP HCM (SGN),Phú Quốc (PQC),7,7,1.113.232 VND,Afternoon,Afternoon,60,2,0,8,1759302.0,1113232.0,1306584.78125,271580.1366347488
VJ-327,VietJet Air,1152067,TP HCM (SGN),Phú Quốc (PQC),7,7,1.152.067 VND,Afternoon,Afternoon,60,1,0,7,1113232.0,1117309.0,1264098.8541666667,205652.73474394978
VJ-329,VietJet Air,1117309,TP HCM (SGN),Phú Quốc (PQC),7,0,1.117.309 VND,Morning,Morning,65,3,0,8,1117309.0,1117309.0,1498620.9375,0.0
VJ-329,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Morning,Morning,65,3,0,8,1117309.0,1759302.0,1498620.9375,0.0
VJ-329,VietJet Air,1113232,TP HCM (SGN),Phú Quốc (PQC),7,7,1.113.232 VND,Morning,Morning,65,2,0,8,1759302.0,1113232.0,1306584.78125,271580.1366347488
VJ-329,VietJet Air,1155756,TP HCM (SGN),Phú Quốc (PQC),7,7,1.155.756 VND,Morning,Morning,65,1,0,7,1113232.0,1117309.0,1264098.8541666667,205652.73474394978
VJ-331,VietJet Air,890845,TP HCM (SGN),Phú Quốc (PQC),7,0,890.845 VND,Evening,Evening,60,3,0,8,890845.0,890845.0,1498620.9375,0.0
VJ-331,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Evening,Evening,60,3,0,8,890845.0,1759302.0,1498620.9375,0.0
VJ-331,VietJet Air,887321,TP HCM (SGN),Phú Quốc (PQC),7,7,887.321 VND,Evening,Evening,60,2,0,8,1759302.0,887321.0,1306584.78125,271580.1366347488
VJ-335,VietJet Air,1564000,TP HCM (SGN),Phú Quốc (PQC),7,20,1.564.000 VND,Afternoon,Afternoon,60,3,0,8,1564000.0,1564000.0,1498620.9375,0.0
VJ-335,VietJet Air,2730586,TP HCM (SGN),Phú Quốc (PQC),10,30,2.730.586 VND,Afternoon,Afternoon,60,3,0,8,1564000.0,2730586.0,1498620.9375,0.0
VJ-335,VietJet Air,1575587,TP HCM (SGN),Phú Quốc (PQC),7,7,1.575.587 VND,Afternoon,Afternoon,60,2,0,8,2730586.0,1575587.0,1306584.78125,271580.1366347488
VJ-335,VietJet Air,1576484,TP HCM (SGN),Phú Quốc (PQC),7,7,1.576.484 VND,Afternoon,Afternoon,60,1,0,7,1575587.0,1564000.0,1264098.8541666667,205652.73474394978
VJ-337,VietJet Air,1117309,TP HCM (SGN),Phú Quốc (PQC),7,0,1.117.309 VND,Morning,Afternoon,60,3,0,8,1117309.0,1117309.0,1498620.9375,0.0
VJ-337,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Morning,Afternoon,60,3,0,8,1117309.0,1759302.0,1498620.9375,0.0
VJ-337,VietJet Air,1113232,TP HCM (SGN),Phú Quốc (PQC),7,7,1.113.232 VND,Morning,Afternoon,60,2,0,8,1759302.0,1113232.0,1306584.78125,271580.1366347488
VJ-337,VietJet Air,1152067,TP HCM (SGN),Phú Quốc (PQC),7,7,1.152.067 VND,Morning,Afternoon,60,1,0,7,1113232.0,1117309.0,1264098.8541666667,205652.73474394978
VJ-339,VietJet Air,1117309,TP HCM (SGN),Phú Quốc (PQC),7,0,1.117.309 VND,Morning,Morning,60,3,0,8,1117309.0,1117309.0,1498620.9375,0.0
